period;format;download_path;path;inputs_folder;data_folder;ft_escola;ft_escola_em_e_emprof;ft_escola_educprof;ft_escola_ind;ft_escola_desporto;ft_escola_em8;ft_escola_em11;ft_escola_es6;ft_ind_reg;ft_turma;ft_docente;ft_matricula
2005;fwf;http://download.inep.gov.br/microdados/microdados_censo_escolar_2005.zip;microdados_censo_escolar_2005;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC2005.sas&CENSOESC_2005.txt;INPUT_SAS_EM22.sas&EM22_2005.TXT;INPUT_SAS_EDUCPROF2005.sas&EDUCPROF_2005.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;fwf;http://download.inep.gov.br/microdados/microdados_censo_escolar_2006_2.zip;microdados_censo_escolar_2006_2/MicrodCenso Escolar2006;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC2006.sas&CENSOESC_2006.txt;INPUT_SAS_EM22.sas&EM22_2005.TXT;INPUT_SAS_EDUCPROF2006.sas&EDUCPROF_2005.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;fwf;http://download.inep.gov.br/microdados/Microdados_Censo2007.zip;Microdados_Censo2007/MicrodCenso Escolar2007;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_TS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_TS_DOCENTES.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_TS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2008;fwf;http://download.inep.gov.br/microdados/microdados_educacao_basica_2008.zip;microdados_educacao_basica_2008/Microdados da Educa??o B?sica de 2008;INPUTS;DADOS;INPUT_SAS_TS_ESCOLA.sas&ts_escola.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_TS_DOCENTES.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_TS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2009;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar2009.zip;micro_censo_escolar2009/Microdados da Educa??o B?sica 2009;INPUTS;DADOS;INPUT_SAS_TS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_TS_DOCENTES.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_TS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2010;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar_2010.zip;micro_censo_escolar_2010;INPUTS;DADOS;INPUT_SAS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_DOCENTES.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2011;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar_2011.zip;micro_censo_escolar_2011/Microdados Censo Escolar 2011;INPUTS;DADOS;INPUT_SAS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_DOCENTE.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2012;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar_2012.zip;micro_censo_escolar_2012;INPUTS;DADOS;INPUT_SAS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_DOCENTE.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2013;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar_2013.zip;micro_censo_escolar_2013/Microdados do Censo da Educa??o B?sica - 2013;INPUTS;DADOS;INPUT_SAS_ESCOLA.sas&TS_ESCOLA.txt;NA;NA;NA;NA;NA;NA;NA;NA;INPUT_SAS_TURMA.sas&TS_TURMA.txt;INPUT_SAS_DOCENTE.sas&TS_DOCENTES_[[:print:]]*.TXT;INPUT_SAS_MATRICULA.sas&TS_MATRICULA_[[:print:]]*.TXT
2014;csv;http://download.inep.gov.br/microdados/micro_censo_escolar_2014.zip;micro_censo_escolar_2014/2014;NA;DADOS;|&ESCOLAS.csv;NA;NA;NA;NA;NA;NA;NA;NA;|&TURMAS.csv;|&DOCENTES_[[:print:]]*.csv;|&MATRICULA_[[:print:]]*.csv
2015;csv;http://download.inep.gov.br/microdados/micro_censo_escolar_2015.zip;micro_censo_escolar_2015/2015;NA;DADOS;|&ESCOLAS.csv;NA;NA;NA;NA;NA;NA;NA;NA;|&TURMAS.csv;|&DOCENTES_[[:print:]]*.csv;|&MATRICULA_[[:print:]]*.csv
